,page,id,title,title_score,coordinate,score
58,29,58,从不同收入水平人群的喜好差异来看，收,0.8838201761245728,"(66, 475, 545, 702)",0.931891918182373
59,30,59,我理解，如今的汽车年轻化设计风潮，不仅仅是车企获取年轻用户的手段，也是汽车产品审关升级的体现。所以，我扩,0.8658785223960876,"(55, 215, 544, 434)",0.9858958125114441
60,30,60,我理解，如今的汽车年轻化设计风潮，不仅仅是车企获取年轻用户的手段，也是汽车产品审关升级的体现。所以，我扩,0.8658785223960876,"(74, 471, 543, 690)",0.9845476746559143
61,30,61,我理解，如今的汽车年轻化设计风潮，不仅仅是车企获取年轻用户的手段，也是汽车产品审关升级的体现。所以，我扩,0.8658785223960876,"(40, 226, 549, 688)",0.9656187295913696
62,31,62,车型券别为比通吉划无,0.5676962733268738,"(59, 462, 539, 690)",0.987578809261322
63,31,63,车型券别为比通吉划无,0.5676962733268738,"(45, 214, 548, 435)",0.974513590335846
64,31,64,车型券别为比通吉划无,0.5676962733268738,"(37, 240, 558, 677)",0.969028115272522
65,32,65,式换挡方式正在得到越来越多的,0.909306526184082,"(42, 509, 542, 710)",0.9852209687232971
66,32,66,式换挡方式正在得到越来越多的,0.909306526184082,"(46, 255, 542, 449)",0.9705013632774353
67,32,67,式换挡方式正在得到越来越多的,0.909306526184082,"(38, 231, 540, 711)",0.8796012997627258
68,33,68,汽车人机交互的主流方式之一，为拉,0.9126577377319336,"(49, 484, 544, 705)",0.98540198802948
69,33,69,汽车人机交互的主流方式之一，为拉,0.9126577377319336,"(37, 222, 540, 448)",0.9817509055137634
70,33,70,汽车人机交互的主流方式之一，为拉,0.9126577377319336,"(35, 217, 542, 715)",0.9529350399971008
71,34,71,通着人工智能和5G技术的发展，汽车,0.933466911315918,"(41, 212, 554, 438)",0.9834739565849304
72,34,72,通着人工智能和5G技术的发展，汽车,0.933466911315918,"(34, 207, 562, 698)",0.9689850211143494
73,34,73,通着人工智能和5G技术的发展，汽车,0.933466911315918,"(65, 464, 557, 695)",0.9255128502845764
74,35,74,高，同时支付意愿也楚强。七成0,0.8666127324104309,"(46, 212, 545, 437)",0.9869081974029541
75,35,75,高，同时支付意愿也楚强。七成0,0.8666127324104309,"(54, 471, 541, 691)",0.9806776642799377
76,35,76,高，同时支付意愿也楚强。七成0,0.8666127324104309,"(36, 202, 543, 702)",0.9612364768981934
77,36,77,None,0.0,"(46, 227, 531, 452)",0.9890260100364685
78,36,78,None,0.0,"(39, 239, 549, 715)",0.9797034859657288
79,36,79,None,0.0,"(45, 473, 543, 705)",0.9773239493370056
80,37,80,None,0.0,"(29, 37, 467, 437)",0.9629532098770142
81,37,81,None,0.0,"(33, 33, 574, 800)",0.9055013656616211
82,37,82,None,0.0,"(83, 484, 475, 806)",0.8353240489959717
83,37,83,None,0.0,"(49, 338, 585, 740)",0.8146188855171204
84,38,84,数据来源：汽车之家调研数据、汽车之家大数据,0.9038699865341187,"(79, 493, 513, 708)",0.9643310904502869
85,38,85,数据来源：汽车之家调研数据、汽车之家大数据,0.9038699865341187,"(48, 164, 516, 747)",0.9221355319023132
86,38,86,数据来源：汽车之家调研数据、汽车之家大数据,0.9038699865341187,"(43, 199, 496, 463)",0.8080155849456787
87,39,87,None,0.0,"(44, 190, 547, 327)",0.9722398519515991
88,39,88,中国品牌可以针对年轻群体加大定制化改装的投入,0.8762966394424438,"(48, 519, 544, 687)",0.9544578790664673
89,39,89,中国品牌可以针对年轻群体加大定制化改装的投入,0.8762966394424438,"(40, 143, 555, 699)",0.9368190169334412
90,39,90,中国品牌可以针对年轻群体加大定制化改装的投入,0.8762966394424438,"(56, 359, 536, 501)",0.9174891710281372
91,40,91,原伴民的年群位,0.5929611921310425,"(46, 193, 511, 439)",0.9914793372154236
92,40,92,原伴民的年群位,0.5929611921310425,"(45, 181, 502, 694)",0.9759458899497986
93,40,93,原伴民的年群位,0.5929611921310425,"(36, 474, 489, 712)",0.9688341617584229
94,41,94,None,0.0,"(6, 368, 566, 807)",0.9759408831596375
95,42,95,None,0.0,"(28, 473, 555, 765)",0.989243745803833
96,42,96,None,0.0,"(58, 48, 545, 766)",0.8439363241195679
97,43,97,None,0.0,"(0, 14, 593, 804)",0.963995099067688
